Title,Address,State,Original
Weekly Dispatch,"P.O. Box 1538, San Antonio",Texas,"Weekly Dispatch, P.O. Box 1538, San Antonio"
Waco Farm & Labor Journal,"616 Washington Ave., Waco",Texas,"Waco Farm & Labor Journal, 616 Washington Ave., Waco"
Utah Labor News,"626 S. 6 St., Salt Lake City",Utah,"Utah Labor News, 626 S. 6 St., Salt Lake City"
Utah Trades Journal,"69 Ogden Ave., Ogden",Utah,"Utah Trades Journal, 69 Ogden Ave., Ogden"
Labor News,"807 Bankers Trust Bldg., Norfolk",Virginia,"Labor News, 807 Bankers Trust Bldg., Norfolk"
Norfolk Labor Journal,"209 W. Tazewell St., Norfolk",Virginia,"Norfolk Labor Journal, 209 W. Tazewell St., Norfolk"
Times Advocate,"155 Bank St., Norfolk",Virginia,"Times Advocate, 155 Bank St., Norfolk"
Labor Herald,"1306 E. Franklin St., Richmond",Virginia,"Labor Herald, 1306 E. Franklin St., Richmond"
Labor Bulletin,"108 N. G St., Aberdeen",Washington,"Labor Bulletin, 108 N. G St., Aberdeen"
Bellingham Labor News,"1300 Cornwall Ave., Bellingham",Washington,"Bellingham Labor News, 1300 Cornwall Ave., Bellingham"
The Aero Mechanic,"5513 Airport Way, Seattle",Washington,"The Aero Mechanic, 5513 Airport Way, Seattle"
The Labor Journal,"Labor Temple, Everett",Washington,"The Labor Journal, Labor Temple, Everett"
Union Register,"210 Union Center, First Ave. at James St., Seattle",Washington,"Union Register, 210 Union Center, First Ave. at James St., Seattle"
Washington State Labor News,"New Labor Temple, First Ave. & Clay St., Seattle",Washington,"Washington State Labor News, New Labor Temple, First Ave. & Clay St., Seattle"
Washington Teamster,"552 Denny Way, Seattle",Washington,"Washington Teamster, 552 Denny Way, Seattle"
Labor World,"104 W. Third Ave., Spokane",Washington,"Labor World, 104 W. Third Ave., Spokane"
Tacoma Labor Advocate,"1356 Court C, Tacoma",Washington,"Tacoma Labor Advocate, 1356 Court C, Tacoma"
Furniture Worker,"1012 1/2 Tacoma Ave., Tacoma",Washington,"Furniture Worker, 1012 1/2 Tacoma Ave., Tacoma"
The Voice of Labor,"163 Kirk St., Morgantown",West Virginia,"The Voice of Labor, 163 Kirk St., Morgantown"
The Facts (CIO),"1810 Main St., P.O. Box 107, Steubenville",West Virginia,"The Facts (CIO), 1810 Main St., P.O. Box 107, Steubenville"
State Advocate,"1119 Chapline St., Wheeling",West Virginia,"State Advocate, 1119 Chapline St., Wheeling"
News-Forum,Appleton,Wisconsin,"News-Forum, Appleton"
Wisconsin Farmers Union News,"2 W. Spring St., Chippewa Falls",Wisconsin,"Wisconsin Farmers Union News, 2 W. Spring St., Chippewa Falls"
The Kenosha Labor,"2225 63 St., Kenosha",Wisconsin,"The Kenosha Labor, 2225 63 St., Kenosha"
Journal of State & Local Government Employes,"448 W. Washington Ave., Madison",Wisconsin,"Journal of State & Local Government Employes, 448 W. Washington Ave., Madison"
Union Labor News,"20 1/2 E. Mifflin St., Madison",Wisconsin,"Union Labor News, 20 1/2 E. Mifflin St., Madison"
Wisconsin State Employees,"448 W. Washington Ave., Madison",Wisconsin,"Wisconsin State Employees, 448 W. Washington Ave., Madison"
AFL Auto Worker,"Majestic Bldg., Rm. 1013, 231 W. Wisconsin Ave., Milwaukee",Wisconsin,"AFL Auto Worker, Majestic Bldg., Rm. 1013, 231 W. Wisconsin Ave., Milwaukee"
Building Service Employes,"212 W. Wisconsin St., Milwaukee",Wisconsin,"Building Service Employes, 212 W. Wisconsin St., Milwaukee"
CIO News,"108 W. Wells St., Milwaukee",Wisconsin,"CIO News, 108 W. Wells St., Milwaukee"
Glove Workers Bulletin,"5328 N. 39 St., Milwaukee",Wisconsin,"Glove Workers Bulletin, 5328 N. 39 St., Milwaukee"
Labor Press,Milwaukee,Wisconsin,"Labor Press, Milwaukee"
Wyoming-Utah Labor Journal,Cheyenne,Wyoming,"Wyoming-Utah Labor Journal, Cheyenne"
