Title,Address,State,Original
Work,"3 E. Chicago Ave., Chicago",Illinois,"Work, 3 E. Chicago Ave., Chicago"
The Plasterer & Cement Finisher,"5145 W. Cermak Rd., Cicero",Illinois,"The Plasterer & Cement Finisher, 5145 W. Cermak Rd., Cicero"
The Vermilion County Star,"106 W. Main St., Danville",Illinois,"The Vermilion County Star, 106 W. Main St., Danville"
Decatur Weekly News,"Eldorado & Broadway, Decatur",Illinois,"Decatur Weekly News, Eldorado & Broadway, Decatur"
Union News,"410 Metropolitan Bldg., East St. Louis",Illinois,"Union News, 410 Metropolitan Bldg., East St. Louis"
Galesburg Labor News,"56 N. Cherry St., Galesburg",Illinois,"Galesburg Labor News, 56 N. Cherry St., Galesburg"
Labor Record,"10 W. Jackson St., P.O. Box 865, Joliet",Illinois,"Labor Record, 10 W. Jackson St., P.O. Box 865, Joliet"
Progressive Miner,"118-200 S. Main St., Marissa",Illinois,"Progressive Miner, 118-200 S. Main St., Marissa"
Independent Weekly,"2816 Shelby Ave., Mattoon",Illinois,"Independent Weekly, 2816 Shelby Ave., Mattoon"
Butcher & Grocery Clerks Journal,"100 S. Kenilworth, Oak Park",Illinois,"Butcher & Grocery Clerks Journal, 100 S. Kenilworth, Oak Park"
Labor Temple News,"226-228 N. Adams St., Peoria",Illinois,"Labor Temple News, 226-228 N. Adams St., Peoria"
Union CIO 'Cat',"835 Main St., Peoria",Illinois,"Union CIO 'Cat', 835 Main St., Peoria"
Labor News,Quincy,Illinois,"Labor News, Quincy"
The Quincy Record,"514 Jersey St., Quincy",Illinois,"The Quincy Record, 514 Jersey St., Quincy"
United Labor Review,"331 Hampshire St., Quincy",Illinois,"United Labor Review, 331 Hampshire St., Quincy"
Rockford Labor News,"1418 Broadway, Rockford",Illinois,"Rockford Labor News, 1418 Broadway, Rockford"
Tri-City Labor Review,"Labor Temple, Rock Island",Illinois,"Tri-City Labor Review, Labor Temple, Rock Island"
USA 65 (CIO),"9008 Commercial Ave., South Chicago",Illinois,"USA 65 (CIO), 9008 Commercial Ave., South Chicago"
The Illinois Tradesman,"223% S. 6 St., Springfield",Illinois,"The Illinois Tradesman, 223% S. 6 St., Springfield"
The Lampmaker (CIO),"UAW-CIO Local 663, 125 E. 10 St., Anderson",Indiana,"The Lampmaker (CIO), UAW-CIO Local 663, 125 E. 10 St., Anderson"
Labor Sentinel (CIO),"3436 Michigan Ave., East Chicago",Indiana,"Labor Sentinel (CIO), 3436 Michigan Ave., East Chicago"
Evansville UE News (CIO),"305 Boehne Bldg., Evansville",Indiana,"Evansville UE News (CIO), 305 Boehne Bldg., Evansville"
Labor Forum,"210 N. Fulton Ave., Evansville",Indiana,"Labor Forum, 210 N. Fulton Ave., Evansville"
Labor Review,"P.O. Box 231, Evansville",Indiana,"Labor Review, P.O. Box 231, Evansville"
Ft. Wayne Labor News,"327 W. Berry St., Ft. Wayne",Indiana,"Ft. Wayne Labor News, 327 W. Berry St., Ft. Wayne"
Ft. Wayne U. E. Herald Local 901,"UERMWA-CIO, 935 Lincoln Tower, Ft. Wayne",Indiana,"Ft. Wayne U. E. Herald Local 901, UERMWA-CIO, 935 Lincoln Tower, Ft. Wayne"
The Steel Worker (CIO),"100 E. 6 Ave., Gary",Indiana,"The Steel Worker (CIO), 100 E. 6 Ave., Gary"
The Carpenter,"222 E. Michigan St., Indianapolis",Indiana,"The Carpenter, 222 E. Michigan St., Indianapolis"
Indiana Teamster,"28 W. North St., Indianapolis",Indiana,"Indiana Teamster, 28 W. North St., Indianapolis"
The International Teamsters Magazine,"222 E. Michigan St., Indianapolis",Indiana,"The International Teamsters Magazine, 222 E. Michigan St., Indianapolis"
Journeyman Barber,"12th and Delaware Sts., Indianapolis",Indiana,"Journeyman Barber, 12th and Delaware Sts., Indianapolis"
Labor Guide,"304 Pennsylvania Bldg., Indianapolis",Indiana,"Labor Guide, 304 Pennsylvania Bldg., Indianapolis"
Laundry Worker,"115 N. Pennsylvania St., Rm. 1258, Indianapolis",Indiana,"Laundry Worker, 115 N. Pennsylvania St., Rm. 1258, Indianapolis"
Typographical Journal,"Meridian at 28 St., Indianapolis",Indiana,"Typographical Journal, Meridian at 28 St., Indianapolis"
The Union,"1003 Lemcke Bldg., Indianapolis",Indiana,"The Union, 1003 Lemcke Bldg., Indianapolis"
Painter & Decorator,"Painter & Decorators Bldg., Lafayette",Indiana,"Painter & Decorator, Painter & Decorators Bldg., Lafayette"
Retail Clerks International Advocate,"Levering Bldg., Main St., Lafayette",Indiana,"Retail Clerks International Advocate, Levering Bldg., Main St., Lafayette"
The Labor Beacon,"431 1/2 Franklin St., Michigan City",Indiana,"The Labor Beacon, 431 1/2 Franklin St., Michigan City"
South Bend Labor News,"724 S. Michigan St., South Bend",Indiana,"South Bend Labor News, 724 S. Michigan St., South Bend"
Tri-County News (CIO),"1410 S. Michigan St., South Bend",Indiana,"Tri-County News (CIO), 1410 S. Michigan St., South Bend"
Terre Haute Advocate,"Labor Temple, Terre Haute",Indiana,"Terre Haute Advocate, Labor Temple, Terre Haute"
Labor Journal,"Inc., 1415 E. State St., Algona",Iowa,"Labor Journal, Inc., 1415 E. State St., Algona"
Burlington Labor News,"P.O. Box 547, Burlington",Iowa,"Burlington Labor News, P.O. Box 547, Burlington"
Cedar Rapids Tribune,Cedar Rapids,Iowa,"Cedar Rapids Tribune, Cedar Rapids"
Railway Conductor,Cedar Rapids,Iowa,"Railway Conductor, Cedar Rapids"
Farmer-Labor Press,"513 S. Main St., P.O. Box 298, Council Bluffs",Iowa,"Farmer-Labor Press, 513 S. Main St., P.O. Box 298, Council Bluffs"
Des Moines Federationist,"1600 Mondamin Ave., Des Moines",Iowa,"Des Moines Federationist, 1600 Mondamin Ave., Des Moines"
Iowa Railroad World,"P.O. Box 333, Des Moines",Iowa,"Iowa Railroad World, P.O. Box 333, Des Moines"
Iowa Union Farmer,"504 1/2 Grand Ave., Des Moines",Iowa,"Iowa Union Farmer, 504% Grand Ave., Des Moines"
The Iowa Unionist,"215 10 St., Des Moines",Iowa,"The Iowa Unionist, 215 10 St., Des Moines"
Marshalltown Labor Advocate,"103 E. Church St., Marshalltown",Iowa,"Marshalltown Labor Advocate, 103 E. Church St., Marshalltown"
Unionist and Public Forum,"410 Jennings St., Sioux City",Iowa,"Unionist and Public Forum, 410 Jennings St., Sioux City"
The Labor Review,"111 N. Walnut St., Hutchinson",Kansas,"The Labor Review, 111 N. Walnut St., Hutchinson"
Boiler Makers Journal,"524 Brotherhood Block, Kansas City",Kansas,"Boiler Makers Journal, 524 Brotherhood Block, Kansas City"
The Labor Bulletin,"P.O. Box 147, Kansas City",Kansas,"The Labor Bulletin, P.O. Box 147, Kansas City"
Central Labor Journal,"Labor Temple, Salina",Kansas,"Central Labor Journal, Labor Temple, Salina"
Kansas Labor Weekly,"621 JackSbn St., Topeka",Kansas,"Kansas Labor Weekly, 621 JackSbn St., Topeka"
The Plaindealer,"323 N. Main St., Wichita",Kansas,"The Plaindealer, 323 N. Main St., Wichita"
Falls Cities Labor News,"410-411 Realty Bldg., Louisville",Kentucky,"Falls Cities Labor News, 410-411 Realty Bldg., Louisville"
Journal of Labor,"410 McDowell Bldg., Louisville",Kentucky,"Journal of Labor, 410 McDowell Bldg., Louisville"
Labor News,Louisville,Kentucky,"Labor News, Louisville"
Tobacco Worker,"806 Realty Bldg., Louisville",Kentucky,"Tobacco Worker, 806 Realty Bldg., Louisville"
The Official Bulletin,"7 W. 6 St., Newport",Kentucky,"The Official Bulletin, 7 W. 6 St., Newport"
The Union Advocate,Pikeville,Kentucky,"The Union Advocate, Pikeville"
Louisiana Labor Leader,"359 Lafayette St., Baton Rouge",Louisiana,"Louisiana Labor Leader, 359 Lafayette St., Baton Rouge"
The Federationist,"424-426 Chartres St., New Orleans",Louisiana,"The Federationist, 424-426 Chartres St., New Orleans"
Labor Record,"315 St. Charles St., New Orleans",Louisiana,"Labor Record, 315 St. Charles St., New Orleans"
New Orleans News Digest (CIO),"529 Lafayette St., New Orleans",Louisiana,"New Orleans News Digest (CIO), 529 Lafayette St., New Orleans"
Maine CIO News,"34 Exchange St., Portland",Maine,"Maine CIO News, 34 Exchange St., Portland"
Baltimore Federationist,"1317 Patapsco St., Baltimore",Maryland,"Baltimore Federationist, 1317 Patapsco St., Baltimore"
Baltimore Labor Herald,"218 E. Lexington St., Baltimore",Maryland,"Baltimore Labor Herald, 218 E. Lexington St., Baltimore"
Labor News,Cumberland,Maryland,"Labor News, Cumberland"
The CIO News,"Western Maryland Edition, P.O. Box 299, Cumberland",Maryland,"The CIO News, Western Maryland Edition, P.O. Box 299, Cumberland"
Coopers International Journal,"Park Square Bldg. 927, Boston",Massachusetts,"Coopers International Journal, Park Square Bldg. 927, Boston"
Massachusetts CIO News,"73 Tremont St., Boston",Massachusetts,"Massachusetts CIO News, 73 Tremont St., Boston"
Shoe Workers Journal,"246 Summer St., Boston",Massachusetts,"Shoe Workers Journal, 246 Summer St., Boston"
Typographical Union Bulletin,"7 Water St., Boston",Massachusetts,"Typographical Union Bulletin, 7 Water St., Boston"
Electrical Union News (CIO),"248 S. Common St., Lynn",Massachusetts,"Electrical Union News (CIO), 248 S. Common St., Lynn"
The Union News (CIO),Pittsfield,Massachusetts,"The Union News (CIO), Pittsfield"
Granite Cutters Journal,"25 School St., Quincy",Massachusetts,"Granite Cutters Journal, 25 School St., Quincy"
United Front (CIO),"32 Stevens St., Springfield",Massachusetts,"United Front (CIO), 32 Stevens St., Springfield"
The Labor News,"17 Federal St., Worcester",Massachusetts,"The Labor News, 17 Federal St., Worcester"
The Square Deal,"P.O. Box 196, Battle Creek",Michigan,"The Square Deal, P.O. Box 196, Battle Creek"
Ammunition (CIO),"1324 Maccabees Bldg., Detroit",Michigan,"Ammunition (CIO), 1324 Maccabees Bldg., Detroit"
Brotherhood of Maintenance of Way Employees Journal,"61 Putnam Ave., Detroit Hotel-Bar-Restaurant Review, 1442 Griswold St., Detroit",Michigan,"Brotherhood of Maintenance of Way Employees Journal, 61 Putnam Ave., Detroit Hotel-Bar-Restaurant Review, 1442 Griswold St., Detroit"
Michigan CIO News,"803 Hoffman Bldg., Detroit",Michigan,"Michigan CIO News, 803 Hoffman Bldg., Detroit"
Michigan Teamster,"1321 Penobscot Bldg., Detroit",Michigan,"Michigan Teamster, 1321 Penobscot Bldg., Detroit"
Motorman,"Conductor & Motor Coach Operator, 1214 Griswold St., Detroit",Michigan,"Motorman, Conductor & Motor Coach Operator, 1214 Griswold St., Detroit"
United Automobile Worker (UAW-CIO),"411 W. Milwaukee Ave., Detroit",Michigan,"United Automobile Worker (UAW-CIO), 411 W. Milwaukee Ave., Detroit"
Flint Labor News,"215 E. Kearsley St., Flint",Michigan,"Flint Labor News, 215 E. Kearsley St., Flint"
Flint Weekly Review,"412-418 Buckham St., Flint",Michigan,"Flint Weekly Review, 412-418 Buckham St., Flint"
Local 599 Headlight (CIO),"3019 Industrial Ave., Flint",Michigan,"Local 599 Headlight (CIO), 3019 Industrial Ave., Flint"
Grand Rapids Labor News,"312 Anderson Bldg., Grand Rapids",Michigan,"Grand Rapids Labor News, 312 Anderson Bldg., Grand Rapids"
The Square Deal,"618 E. Michigan Ave., Jackson",Michigan,"The Square Deal, 618 E. Michigan Ave., Jackson"
The Lansing Industrial News,Lansing,Michigan,"The Lansing Industrial News, Lansing"
Lansing Labor News (CIO),"P.O. Box 657, Lansing",Michigan,"Lansing Labor News (CIO), P.O. Box 657, Lansing"
Michigan Federationist,"306 Bauch Bldg., Lansing",Michigan,"Michigan Federationist, 306 Bauch Bldg., Lansing"
Tri-City Labor Review,"224 Montgomery Block, Muskegon",Michigan,"Tri-City Labor Review, 224 Montgomery Block, Muskegon"
U.A.W. News,"Union Hall, Terrace & Clay Sts., Muskegon",Michigan,"U.A.W. News, Union Hall, Terrace & Clay Sts., Muskegon"
Port Huron Labor News,"511 1/2 Water St., Port Huron",Michigan,"Port Huron Labor News, 511 1/2 Water St., Port Huron"
The Labor News,"817 E. Genesee Ave., Saginaw",Michigan,"The Labor News, 817 E. Genesee Ave., Saginaw"
Unionist (CIO),"315 E. Water St., Austin",Minnesota,"Unionist (CIO), 315 E. Water St., Austin"
The Bovey Press,Bovey,Minnesota,"The Bovey Press, Bovey"
The Labor World,"320 W. First St., Duluth",Minnesota,"The Labor World, 320 W. First St., Duluth"
Minneapolis Labor Review,"Suite 321, 529 S. Seventh St., Minneapolis",Minnesota,"Minneapolis Labor Review, Suite 321, 529 S. Seventh St., Minneapolis"
Minnesota Labor (CIO),"724 4th Ave., Minneapolis",Minnesota,"Minnesota Labor (CIO), 724 4th Ave., Minneapolis"
Farmers Union Herald,"Box G, St. Paul",Minnesota,"Farmers Union Herald, Box G, St. Paul"
Minnesota Federationist,"Labor Temple, St. Paul",Minnesota,"Minnesota Federationist, Labor Temple, St. Paul"
Minnesota Union Advocate,"408 Auditorium St., St. Paul",Minnesota,"Minnesota Union Advocate, 408 Auditorium St., St. Paul"
Tri-County Forum,Thief River Falls,Minnesota,"Tri-County Forum, Thief River Falls"
Marshall County Star,"Box A, Warren",Minnesota,"Marshall County Star, Box A, Warren"
Mississippi Labor Federationist,"151 Wesley Ave., Jackson",Mississippi,"Mississippi Labor Federationist, 151 Wesley Ave., Jackson"
Hannibal Labor Press,"Box 45, Hannibal",Missouri,"Hannibal Labor Press, Box 45, Hannibal"
Central Missouri Labor News,"P.O. Box 562, Jefferson City",Missouri,"Central Missouri Labor News, P.O. Box 562, Jefferson City"
Missouri Trades Unionist,"Room 212, Central Hotel, Jefferson City",Missouri,"Missouri Trades Unionist, Room 212, Central Hotel, Jefferson City"
Labor Journal,"P.O. Box 4687, Station E, Kansas City",Missouri,"Labor Journal, P.O. Box 4687, Station E, Kansas City"
Railway Carmen's Journal,"Room 404, 107 W. Linwood Blvd., Kansas City",Missouri,"Railway Carmen's Journal, Room 404, 107 W. Linwood Blvd., Kansas City"
The St. Joseph Union,"Moss Bldg., St. Joseph",Missouri,"The St. Joseph Union, Moss Bldg., St. Joseph"
The American Photo Engraver,"3136 S. Grand Blvd., St. Louis",Missouri,"The American Photo Engraver, 3136 S. Grand Blvd., St. Louis"
Bridgemen's Magazine,"1615 Syndicate Trust Bldg., St. Louis",Missouri,"Bridgemen's Magazine, 1615 Syndicate Trust Bldg., St. Louis"
Midwest Labor World (CIO),"705 Olive St., St. Louis",Missouri,"Midwest Labor World (CIO), 705 Olive St., St. Louis"
Postal Supervisor,"Box 1, St. Louis",Missouri,"Postal Supervisor, Box 1, St. Louis"
Railroad Telegrapher,"3673 W. Pine Blvd., St. Louis",Missouri,"Railroad Telegrapher, 3673 W. Pine Blvd., St. Louis"
St. Louis Labor Tribune,"1023 N. Grand Blvd., St. Louis",Missouri,"St. Louis Labor Tribune, 1023 N. Grand Blvd., St. Louis"
St. Louis Union Labor Advocate,"3019 Grand Blvd., St. Louis",Missouri,"St. Louis Union Labor Advocate, 3019 Grand Blvd., St. Louis"
Stove Mounters & Range Workers Journal,"1513 Hogan St., St. Louis",Missouri,"Stove Mounters & Range Workers Journal, 1513 Hogan St., St. Louis"
Union Labor Record,"228 Wilhoit Bldg., Springfield",Missouri,"Union Labor Record, 228 Wilhoit Bldg., Springfield"
Miner's Voice (CIO),Butte,Montana,"Miner's Voice (CIO), Butte"
Montana Labor News,"21 E. Quartz St., Butte",Montana,"Montana Labor News, 21 E. Quartz St., Butte"
Peoples Voice,Helena,Montana,"Peoples Voice, Helena"
Treasure State Labor Journal,"P.O. Box 363, Kalispell",Montana,"Treasure State Labor Journal, P.O. Box 363, Kalispell"
The Unionist,"2203 Farnam St., Omaha",Nebraska,"The Unionist, 2203 Farnam St., Omaha"
Nevada State Labor News,"Box 1011, Reno",Nevada,"Nevada State Labor News, Box 1011, Reno"
New Hampshire Labor News,Manchester,New Hampshire,"New Hampshire Labor News, Manchester"
Torch (CIO),"13 Mac Arthur Plaza, Bloomfield",New Jersey,"Torch (CIO), 13 Mac Arthur Plaza, Bloomfield"
Shipyard Worker (IUMSWA-CIO),"534 Cooper St., Camden",New Jersey,"Shipyard Worker (IUMSWA-CIO), 534 Cooper St., Camden"
Union Reporter,"224 Federal St., Camden",New Jersey,"Union Reporter, 224 Federal St., Camden"
Union Labor Advocate,"1139 E. Jersey St., Elizabeth",New Jersey,"Union Labor Advocate, 1139 E. Jersey St., Elizabeth"
International Musician,"39 Division St., Newark",New Jersey,"International Musician, 39 Division St., Newark"
New Jersey Labor Herald,"22 Thirteenth Ave., Newark",New Jersey,"New Jersey Labor Herald, 22 Thirteenth Ave., Newark"
New Jersey Teacher,"107 Pomona Ave., Newark",New Jersey,"New Jersey Teacher, 107 Pomona Ave., Newark"
Railroad Employee,"494 Broad St., Newark",New Jersey,"Railroad Employee, 494 Broad St., Newark"
Union Recorder (CIO),"71 Orange St., Newark",New Jersey,"Union Recorder (CIO), 71 Orange St., Newark"
The Textile Dyer (CIO),"205 Madison St., Passaic",New Jersey,"The Textile Dyer (CIO), 205 Madison St., Passaic"
New York State Federation of Labor Bulletin,"9 S. Hawk St., Albany",New York,"New York State Federation of Labor Bulletin, 9 S. Hawk St., Albany"
Paper Maker's Journal,"30 Sheridan Ave., Albany",New York,"Paper Maker's Journal, 30 Sheridan Ave., Albany"
Union Labor News,"232 O'Neil Bldg., Binghamton",New York,"Union Labor News, 232 O'Neil Bldg., Binghamton"
Buffalo Union Leader (CIO),"Room 214, 86 W. Chippewa St., Buffalo",New York,"Buffalo Union Leader (CIO), Room 214, 86 W. Chippewa St., Buffalo"
Catholic Labor Observer,"450 Abbott Rd., Buffalo",New York,"Catholic Labor Observer, 450 Abbott Rd., Buffalo"
Switchmen's Journal,"3 Linwood Ave., Buffalo",New York,"Switchmen's Journal, 3 Linwood Ave., Buffalo"
Elmira Labor Review,"209-11 W. Hudson St., Elmira",New York,"Elmira Labor Review, 209-11 W. Hudson St., Elmira"
Pulp,"Sulphite & Paper Mill Workers' Journal, Ft. Edward",New York,"Pulp, Sulphite & Paper Mill Workers' Journal, Ft. Edward"
Nassau-Suffolk Labor News,"157 Greenwich St., Hempstead, L.I.",New York,"Nassau-Suffolk Labor News, 157 Greenwich St., Hempstead, L.I."
Tri-County Herald,"P.O. Box 826, Jamestown",New York,"Tri-County Herald, P.O. Box 826, Jamestown"
Advance (ACWA-CIO),"15 Union Square, New York",New York,"Advance (ACWA-CIO), 15 Union Square, New York"
ACA News (ACA-CIO),"5 Beekman Street, New York",New York,"ACA News (ACA-CIO), 5 Beekman Street, New York"
The American Labor World,"66 Duane St., New York",New York,"The American Labor World, 66 Duane St., New York"
Architectural & Engineering Guild,"15 E. 40 St., New York",New York,"Architectural & Engineering Guild, 15 E. 40 St., New York"
Black Worker,"217 W. 125 St., New York",New York,"Black Worker, 217 W. 125 St., New York"
The Brotherhood Record (CIO),"782 Lexington Ave., New York",New York,"The Brotherhood Record (CIO), 782 Lexington Ave., New York"
Bulletin (TWA-CIO),"153 W. 64 St., New York",New York,"Bulletin (TWA-CIO), 153 W. 64 St., New York"
Butcher Worker,"40 W. 17 St., New York",New York,"Butcher Worker, 40 W. 17 St., New York"
Citizen (CIO),"1776 Broadway, New York",New York,"Citizen (CIO), 1776 Broadway, New York"
CIO Reporter,"101 W. 31 St., New York",New York,"CIO Reporter, 101 W. 31 St., New York"
Department Store Employee (CIO),"153 W. 33 St., New York",New York,"Department Store Employee (CIO), 153 W. 33 St., New York"
1199 Drug News,"1545 Broadway, New York",New York,"1199 Drug News, 1545 Broadway, New York"
Electrical Union World,"130 E. 25 St., New York",New York,"Electrical Union World, 130 E. 25 St., New York"
Equity,"45 W. 47 St., New York",New York,"Equity, 45 W. 47 St., New York"
Fur & Leather Worker (IFLWU-CIO),"251 Fourth Ave., New York",New York,"Fur & Leather Worker (IFLWU-CIO), 251 Fourth Ave., New York"
Furniture Workers Press (UFWA-CIO),"261 Fifth Ave., New York",New York,"Furniture Workers Press (UFWA-CIO), 261 Fifth Ave., New York"
The Garment Worker,"Rm. 621-45 Astor Place, New York",New York,"The Garment Worker, Rm. 621-45 Astor Place, New York"
Guild Reporter (ANG-CIO),"63 Park Row, New York",New York,"Guild Reporter (ANG-CIO), 63 Park Row, New York"
The Hat Worker,"245 Fifth Ave., New York",New York,"The Hat Worker, 245 Fifth Ave., New York"
Insurance Outlook (CIO),"5 Beekman St., New York",New York,"Insurance Outlook (CIO), 5 Beekman St., New York"
Journeyman Barbers Beacon,"118 W. 44 St., New York",New York,"Journeyman Barbers Beacon, 118 W. 44 St., New York"
Justice,"1710 Broadway, New York",New York,"Justice, 1710 Broadway, New York"
The Lab-Log,"165 W. 46 St., New York",New York,"The Lab-Log, 165 W. 46 St., New York"
Labor & the Nation,"112 E. 19 St., New York",New York,"Labor & the Nation, 112 E. 19 St., New York"
Labor Chronicle,"265 W. 14 St., New York",New York,"Labor Chronicle, 265 W. 14 St., New York"
Local 16 (Hotel & Restaurant Workers),"752 Eighth Ave., New York",New York,"Local 16 (Hotel & Restaurant Workers), 752 Eighth Ave., New York"
Master,"Mate & Pilot, 15 Moore St., New York",New York,"Master, Mate & Pilot, 15 Moore St., New York"
Monthly Bulletin,"853 Broadway, New York",New York,"Monthly Bulletin, 853 Broadway, New York"
Motion Picture Office Employees Union,"251 W. 42 St., New York",New York,"Motion Picture Office Employees Union, 251 W. 42 St., New York"
News (SCMWA-CIO),"51 Chambers St., New York",New York,"News (SCMWA-CIO), 51 Chambers St., New York"
New York CIO,"1153 Broadway, New York",New York,"New York CIO, 1153 Broadway, New York"
New York Guildpaper (CIO),"40 E. 40 St., New York",New York,"New York Guildpaper (CIO), 40 E. 40 St., New York"
New York Letter Carriers' Outlook,"3045 Godwin Terrace, New York",New York,"New York Letter Carriers' Outlook, 3045 Godwin Terrace, New York"
New York Teacher News (CIO),"13 Astor Place, New York",New York,"New York Teacher News (CIO), 13 Astor Place, New York"
Office & Professional News (UOPWA-CIO),"1860 Broadway, New York",New York,"Office & Professional News (UOPWA-CIO), 1860 Broadway, New York"
Office Employees News,"Room 1212, 265 W. 14 St., New York",New York,"Office Employees News, Room 1212, 265 W. 14 St., New York"
Official Journal,"International Jewelry Workers, 551 Fifth Ave., Suite 825, New York",New York,"Official Journal, International Jewelry Workers, 551 Fifth Ave., Suite 825, New York"
Pilot (NMU-CIO),"346 W. 17th St., New York",New York,"Pilot (NMU-CIO), 346 W. 17th St., New York"
Post Office Clerk,"373 E. 148 St., New York",New York,"Post Office Clerk, 373 E. 148 St., New York"
Retail,"Wholesale & Dept. Store Employes (URWDSEA-CIO), 100 W. 42nd St., New York",New York,"Retail, Wholesale & Dept. Store Employes (URWDSEA-CIO), 100 W. 42nd St., New York"
Seafarers' Log,"51 Beaver St., New York",New York,"Seafarers' Log, 51 Beaver St., New York"
Shoe Reporter (CIO),"19 W. 44 St., New York",New York,"Shoe Reporter (CIO), 19 W. 44 St., New York"
State Building Trades Council,"154 Nassau St., New York",New York,"State Building Trades Council, 154 Nassau St., New York"
Textile Labor'(TWUA-CIO),"15 Union Square, New York",New York,"Textile Labor'(TWUA-CIO), 15 Union Square, New York"
338 News (CIO),"152 W. 42 St., New York",New York,"338 News (CIO), 152 W. 42 St., New York"
U. E. News (UERMWA-CIO),"11 E. 51 St., New York",New York,"U. E. News (UERMWA-CIO), 11 E. 51 St., New York"
Union Voice (CIO),"104 E. 9 St., New York",New York,"Union Voice (CIO), 104 E. 9 St., New York"
Utility Workers Edition CIO News,"1133 Broadway, New York",New York,"Utility Workers Edition CIO News, 1133 Broadway, New York"
Welfare (CIO),"160 Fifth Ave., New York",New York,"Welfare (CIO), 160 Fifth Ave., New York"
Rochester & Vicinity Labor,"16 State St., Suite 501-505, Rochester",New York,"Rochester & Vicinity Labor, 16 State St., Suite 501-505, Rochester"
Labor Advocate,"P.O. Box 391, Asheville",North Carolina,"Labor Advocate, P.O. Box 391, Asheville"
Charlotte Labor Journal & Dixie Farm News,"118 E. Sixth St., P.O. Box 1061, Charlotte",North Carolina,"Charlotte Labor Journal & Dixie Farm News, 118 E. Sixth St., P.O. Box 1061, Charlotte"
North Carolina Federationist,"P.O. Box 2513, Charlotte",North Carolina,"North Carolina Federationist, P.O. Box 2513, Charlotte"
News Journal,Durham,North Carolina,"News Journal, Durham"
Union Herald,"110 W. Hargett St., Raleigh",North Carolina,"Union Herald, 110 W. Hargett St., Raleigh"
West Asheville News,"440 Haywood Rd., West Asheville",North Carolina,"West Asheville News, 440 Haywood Rd., West Asheville"
Industrial Leader (CIO),"241 N. Liberty St., Winston-Salem",North Carolina,"Industrial Leader (CIO), 241 N. Liberty St., Winston-Salem"
Summit County Labor News,"920 S. High St., Akron",Ohio,"Summit County Labor News, 920 S. High St., Akron"
United Rubber Worker (URWB-CIO),"Buckeye Bldg., Akron",Ohio,"United Rubber Worker (URWB-CIO), Buckeye Bldg., Akron"
B. & W. Boilermaker,"1660 W. Tuscarawas Ave., Barberton",Ohio,"B. & W. Boilermaker, 1660 W. Tuscarawas Ave., Barberton"
United Labor News,"403 4 St., N.E., Canton",Ohio,"United Labor News, 403 4 St., N.E., Canton"
The Catering Industry Employee,"528-530 Walnut St., Cincinnati",Ohio,"The Catering Industry Employee, 528-530 Walnut St., Cincinnati"
The Chronicle,"407 Brotherhood Railway Clerks Bldg., Court & Vine Sts., Cincinnati",Ohio,"The Chronicle, 407 Brotherhood Railway Clerks Bldg., Court & Vine Sts., Cincinnati"
International Molders Journal,"530 Walnut St., Cincinnati",Ohio,"International Molders Journal, 530 Walnut St., Cincinnati"
Metal Polishers Journal,"Box 641, Cincinnati",Ohio,"Metal Polishers Journal, Box 641, Cincinnati"
Railway Clerk,"1015 Vine St., Cincinnati",Ohio,"Railway Clerk, 1015 Vine St., Cincinnati"
Sun (Greater Cincinnati CIO Council),"306 Bell Block, 606 Vine St., Cincinnati",Ohio,"Sun (Greater Cincinnati CIO Council), 306 Bell Block, 606 Vine St., Cincinnati"
Brotherhood of Locomotive Engineers Journal,"1208 B. of L. E. Bldg., Cleveland",Ohio,"Brotherhood of Locomotive Engineers Journal, 1208 B. of L. E. Bldg., Cleveland"
Brotherhood of Locomotive Firemen & Enginemen's Magazine,"726 Keith Bldg., Cleveland",Ohio,"Brotherhood of Locomotive Firemen & Enginemen's Magazine, 726 Keith Bldg., Cleveland"
CIO Paper Worker,"33 Public Sq., Cleveland",Ohio,"CIO Paper Worker, 33 Public Sq., Cleveland"
Cleveland Citizen,"1105 Chester Ave., Cleveland",Ohio,"Cleveland Citizen, 1105 Chester Ave., Cleveland"
Cleveland Union Leader (CIO),"1220 Superior Ave., Cleveland",Ohio,"Cleveland Union Leader (CIO), 1220 Superior Ave., Cleveland"
The Lather,"Lathers Bldg., Detroit Ave., W. 26 St., Cleveland Glass Cutter, 3-9 Long St., Columbus",Ohio,"The Lather, Lathers Bldg., Detroit Ave., W. 26 St., Cleveland Glass Cutter, 3-9 Long St., Columbus"
Glass Workers Edition CIO News,"118 No. Third St., Columbus",Ohio,"Glass Workers Edition CIO News, 118 No. Third St., Columbus"
Ohio State Federation of Labor Quarterly Bulletin,"Suite 405, Atlas Bldg., Columbus",Ohio,"Ohio State Federation of Labor Quarterly Bulletin, Suite 405, Atlas Bldg., Columbus"
Ohio Teamster,"233 S. High St., Columbus",Ohio,"Ohio Teamster, 233 S. High St., Columbus"
The Labor Union,"211 S. Ludlow St., Dayton",Ohio,"The Labor Union, 211 S. Ludlow St., Dayton"
Potters Herald,"Box 34, E. Liverpool",Ohio,"Potters Herald, Box 34, E. Liverpool"
Butler County Press,"236 Market St., Hamilton",Ohio,"Butler County Press, 236 Market St., Hamilton"
